epoch,loss,lr,output_loss,output_mean_absolute_error,val_loss,val_output_loss,val_output_mean_absolute_error,val_variance_output_loss,variance_output_loss
0,0.16979866361979282,0.0005,0.16954855831960838,0.579192154154633,-0.1923950711886088,-0.19265246701737246,0.40383923550446826,-0.19265246701737246,0.16954855831960838
1,-0.2764475447944168,0.0005,-0.27670757978251487,0.3788294777725682,-0.3698193202209141,-0.3700815522008472,0.3471219655540254,-0.3700815522008472,-0.27670757978251487
2,-0.3899415919839433,0.0005,-0.3902054143674446,0.3445206566290422,-0.4117143808139695,-0.4119800751407941,0.3381390935844845,-0.4119800751407941,-0.3902054143674446
3,-0.44587970904328605,0.0005,-0.44614655036817896,0.32698144804347645,-0.4175358611262507,-0.41780388520823586,0.3207871682114071,-0.41780388520823586,-0.44614655036817896
4,-0.48110817752101204,0.0005,-0.4813776762196512,0.31599864345608336,-0.48925483889049953,-0.4895256542497211,0.3115384744273292,-0.4895256542497211,-0.4813776762196512
5,-0.5010578533013662,0.0005,-0.5013305277535409,0.3109269528677969,-0.5175875284605556,-0.5178620153003268,0.30242151187525856,-0.5178620153003268,-0.5013305277535409
6,-0.5552830063935482,0.0005,-0.5555588380856947,0.29797519716349513,-0.4968253866665893,-0.4971028119325638,0.30356404516432023,-0.4971028119325638,-0.5555588380856947
7,-0.5655823517929424,0.0005,-0.5658608356208512,0.29324201101606545,-0.5410563548405966,-0.5413359138700697,0.2926595177915361,-0.5413359138700697,-0.5658608356208512
8,-0.5880324708692956,0.0005,-0.588313736337604,0.28734596606456875,-0.5906925880246692,-0.590975531273418,0.2817770491043727,-0.590975531273418,-0.588313736337604
9,-0.6167710228399796,0.0005,-0.6170550779862838,0.2801733063929009,-0.5959505749245485,-0.596235904428694,0.27683395478460526,-0.596235904428694,-0.6170550779862838
10,-0.6257242872859492,0.0005,-0.6260108530521393,0.2773914073452805,-0.5738879363569949,-0.5741758330000771,0.27613974445396,-0.5741758330000771,-0.6260108530521393
11,-0.649612924005046,0.0005,-0.6499019817872481,0.272517837990414,-0.6153817110591464,-0.615671929385927,0.27177856531408096,-0.615671929385927,-0.6499019817872481
12,-0.6555139202060122,0.0005,-0.6558054129282633,0.2694575727889032,-0.6325411154992051,-0.6328338947561052,0.26789383341868717,-0.6328338947561052,-0.6558054129282633
13,-0.6673002019073024,0.0005,-0.6675942547393567,0.267243584448641,-0.6867904398176405,-0.6870857212278578,0.26353003746933407,-0.6870857212278578,-0.6675942547393567
14,-0.6706155020179171,0.0005,-0.6709122363365058,0.2669743777224512,-0.6973634295993381,-0.6976615720325046,0.2601580015487141,-0.6976615720325046,-0.6709122363365058
15,-0.6940483293750069,0.0005,-0.6943476622754877,0.26207000441623457,-0.6022610670576493,-0.602561650176843,0.264877538714144,-0.602561650176843,-0.6943476622754877
16,-0.6870827837423845,0.0005,-0.6873848965673736,0.2631053957975272,-0.6555403201944299,-0.6558438854085075,0.26536641435490715,-0.6558438854085075,-0.6873848965673736
17,-0.7084459909887025,0.0005,-0.7087508938529274,0.2585067077116533,-0.6801418736577034,-0.6804481214947171,0.2571626603603363,-0.6804481214947171,-0.7087508938529274
18,-0.7236705258037105,0.00025,-0.7239771763483683,0.255230822075497,-0.6020181948939959,-0.6023252738846673,0.258583584593402,-0.6023252738846673,-0.7239771763483683
